generation,best_g_mean,best_num_features,fitness_model,best_generation,max_g_mean
35,0.6715598792288789,40,SVC,56,0.6739459589201466
36,0.6715598792288789,40,SVC,56,0.6739459589201466
37,0.6715598792288789,40,SVC,56,0.6739459589201466
38,0.6715598792288789,40,SVC,56,0.6739459589201466
39,0.6715598792288789,40,SVC,56,0.6739459589201466
40,0.6727919333456711,63,SVC,56,0.6739459589201466
41,0.6727919333456711,63,SVC,56,0.6739459589201466
42,0.6727919333456711,63,SVC,56,0.6739459589201466
43,0.6727919333456711,63,SVC,56,0.6739459589201466
44,0.6727919333456711,63,SVC,56,0.6739459589201466
45,0.6727919333456711,63,SVC,56,0.6739459589201466
46,0.6727919333456711,63,SVC,56,0.6739459589201466
47,0.6727919333456711,63,SVC,56,0.6739459589201466
48,0.6727919333456711,63,SVC,56,0.6739459589201466
49,0.6727919333456711,63,SVC,56,0.6739459589201466
50,0.6727919333456711,63,SVC,56,0.6739459589201466
51,0.6727919333456711,63,SVC,56,0.6739459589201466
52,0.6727919333456711,63,SVC,56,0.6739459589201466
53,0.6727919333456711,63,SVC,56,0.6739459589201466
54,0.6727919333456711,63,SVC,56,0.6739459589201466
55,0.6727919333456711,63,SVC,56,0.6739459589201466
56,0.6739459589201466,50,SVC,56,0.6739459589201466
57,0.6739459589201466,50,SVC,56,0.6739459589201466
58,0.6739459589201466,50,SVC,56,0.6739459589201466
59,0.6739459589201466,50,SVC,56,0.6739459589201466
60,0.6739459589201466,50,SVC,56,0.6739459589201466
61,0.6739459589201466,50,SVC,56,0.6739459589201466
62,0.6739459589201466,50,SVC,56,0.6739459589201466
63,0.6739459589201466,50,SVC,56,0.6739459589201466
64,0.6739459589201466,50,SVC,56,0.6739459589201466
65,0.6739459589201466,50,SVC,56,0.6739459589201466
66,0.6739459589201466,50,SVC,56,0.6739459589201466
67,0.6739459589201466,50,SVC,56,0.6739459589201466
68,0.6739459589201466,50,SVC,56,0.6739459589201466
69,0.6739459589201466,50,SVC,56,0.6739459589201466
70,0.6739459589201466,50,SVC,56,0.6739459589201466
71,0.6739459589201466,50,SVC,56,0.6739459589201466
72,0.6739459589201466,50,SVC,56,0.6739459589201466
73,0.6739459589201466,50,SVC,56,0.6739459589201466
74,0.6739459589201466,50,SVC,56,0.6739459589201466
75,0.6739459589201466,50,SVC,56,0.6739459589201466
76,0.6739459589201466,50,SVC,56,0.6739459589201466
77,0.6739459589201466,50,SVC,56,0.6739459589201466
78,0.6739459589201466,50,SVC,56,0.6739459589201466
79,0.6739459589201466,50,SVC,56,0.6739459589201466
80,0.6739459589201466,50,SVC,56,0.6739459589201466
0,0.6462746113410147,51,RandomForest,30,0.6641454119288421
1,0.6488905830631982,53,RandomForest,30,0.6641454119288421
2,0.6521896173580173,64,RandomForest,30,0.6641454119288421
3,0.6598450704608976,44,RandomForest,30,0.6641454119288421
4,0.6598450704608976,44,RandomForest,30,0.6641454119288421
5,0.6598450704608976,44,RandomForest,30,0.6641454119288421
6,0.6598450704608976,44,RandomForest,30,0.6641454119288421
7,0.6598450704608976,44,RandomForest,30,0.6641454119288421
8,0.6598450704608976,44,RandomForest,30,0.6641454119288421
9,0.6598450704608976,44,RandomForest,30,0.6641454119288421
10,0.6598450704608976,44,RandomForest,30,0.6641454119288421
11,0.6620985974764739,35,RandomForest,30,0.6641454119288421
12,0.6620985974764739,35,RandomForest,30,0.6641454119288421
13,0.6620985974764739,35,RandomForest,30,0.6641454119288421
14,0.6620985974764739,35,RandomForest,30,0.6641454119288421
15,0.6620985974764739,35,RandomForest,30,0.6641454119288421
16,0.6620985974764739,35,RandomForest,30,0.6641454119288421
17,0.6620985974764739,35,RandomForest,30,0.6641454119288421
18,0.6620985974764739,35,RandomForest,30,0.6641454119288421
19,0.6620985974764739,35,RandomForest,30,0.6641454119288421
20,0.6620985974764739,35,RandomForest,30,0.6641454119288421
21,0.6620985974764739,35,RandomForest,30,0.6641454119288421
22,0.6620985974764739,35,RandomForest,30,0.6641454119288421
23,0.6620985974764739,35,RandomForest,30,0.6641454119288421
24,0.6620985974764739,35,RandomForest,30,0.6641454119288421
25,0.6620985974764739,35,RandomForest,30,0.6641454119288421
26,0.6620985974764739,35,RandomForest,30,0.6641454119288421
27,0.6620985974764739,35,RandomForest,30,0.6641454119288421
28,0.6620985974764739,35,RandomForest,30,0.6641454119288421
29,0.6620985974764739,35,RandomForest,30,0.6641454119288421
30,0.6641454119288421,52,RandomForest,30,0.6641454119288421
31,0.6641454119288421,52,RandomForest,30,0.6641454119288421
32,0.6641454119288421,52,RandomForest,30,0.6641454119288421
33,0.6641454119288421,52,RandomForest,30,0.6641454119288421
34,0.6641454119288421,52,RandomForest,30,0.6641454119288421
35,0.6641454119288421,52,RandomForest,30,0.6641454119288421
36,0.6641454119288421,52,RandomForest,30,0.6641454119288421
37,0.6641454119288421,52,RandomForest,30,0.6641454119288421
38,0.6641454119288421,52,RandomForest,30,0.6641454119288421
39,0.6641454119288421,52,RandomForest,30,0.6641454119288421
40,0.6641454119288421,52,RandomForest,30,0.6641454119288421
41,0.6641454119288421,52,RandomForest,30,0.6641454119288421
42,0.6641454119288421,52,RandomForest,30,0.6641454119288421
43,0.6641454119288421,52,RandomForest,30,0.6641454119288421
44,0.6641454119288421,52,RandomForest,30,0.6641454119288421
45,0.6641454119288421,52,RandomForest,30,0.6641454119288421
46,0.6641454119288421,52,RandomForest,30,0.6641454119288421
47,0.6641454119288421,52,RandomForest,30,0.6641454119288421
48,0.6641454119288421,52,RandomForest,30,0.6641454119288421
49,0.6641454119288421,52,RandomForest,30,0.6641454119288421
50,0.6641454119288421,52,RandomForest,30,0.6641454119288421
51,0.6641454119288421,52,RandomForest,30,0.6641454119288421
52,0.6641454119288421,52,RandomForest,30,0.6641454119288421
53,0.6641454119288421,52,RandomForest,30,0.6641454119288421
54,0.6641454119288421,52,RandomForest,30,0.6641454119288421
55,0.6641454119288421,52,RandomForest,30,0.6641454119288421
56,0.6641454119288421,52,RandomForest,30,0.6641454119288421
57,0.6641454119288421,52,RandomForest,30,0.6641454119288421
58,0.6641454119288421,52,RandomForest,30,0.6641454119288421
59,0.6641454119288421,52,RandomForest,30,0.6641454119288421
60,0.6641454119288421,52,RandomForest,30,0.6641454119288421
61,0.6641454119288421,52,RandomForest,30,0.6641454119288421
62,0.6641454119288421,52,RandomForest,30,0.6641454119288421
63,0.6641454119288421,52,RandomForest,30,0.6641454119288421
64,0.6641454119288421,52,RandomForest,30,0.6641454119288421
65,0.6641454119288421,52,RandomForest,30,0.6641454119288421
66,0.6641454119288421,52,RandomForest,30,0.6641454119288421
67,0.6641454119288421,52,RandomForest,30,0.6641454119288421
68,0.6641454119288421,52,RandomForest,30,0.6641454119288421
69,0.6641454119288421,52,RandomForest,30,0.6641454119288421
70,0.6641454119288421,52,RandomForest,30,0.6641454119288421
71,0.6641454119288421,52,RandomForest,30,0.6641454119288421
72,0.6641454119288421,52,RandomForest,30,0.6641454119288421
73,0.6641454119288421,52,RandomForest,30,0.6641454119288421
74,0.6641454119288421,52,RandomForest,30,0.6641454119288421
75,0.6641454119288421,52,RandomForest,30,0.6641454119288421
76,0.6641454119288421,52,RandomForest,30,0.6641454119288421
77,0.6641454119288421,52,RandomForest,30,0.6641454119288421
78,0.6641454119288421,52,RandomForest,30,0.6641454119288421
79,0.6641454119288421,52,RandomForest,30,0.6641454119288421
80,0.6641454119288421,52,RandomForest,30,0.6641454119288421
0,0.6479583041275807,8,DecisionTree_depth3,52,0.6660370782776374
1,0.6479583041275807,8,DecisionTree_depth3,52,0.6660370782776374
2,0.6510113267550713,8,DecisionTree_depth3,52,0.6660370782776374
3,0.6510113267550713,8,DecisionTree_depth3,52,0.6660370782776374
4,0.6510113267550713,8,DecisionTree_depth3,52,0.6660370782776374
5,0.6510113267550713,8,DecisionTree_depth3,52,0.6660370782776374
6,0.6611832118993213,15,DecisionTree_depth3,52,0.6660370782776374
7,0.6611832118993213,15,DecisionTree_depth3,52,0.6660370782776374
8,0.6611832118993213,15,DecisionTree_depth3,52,0.6660370782776374
9,0.6626253009502783,19,DecisionTree_depth3,52,0.6660370782776374
10,0.6626253009502783,19,DecisionTree_depth3,52,0.6660370782776374
11,0.6626253009502783,19,DecisionTree_depth3,52,0.6660370782776374
12,0.6626253009502783,19,DecisionTree_depth3,52,0.6660370782776374
13,0.6626253009502783,19,DecisionTree_depth3,52,0.6660370782776374
14,0.6626253009502783,19,DecisionTree_depth3,52,0.6660370782776374
15,0.6635551096281455,24,DecisionTree_depth3,52,0.6660370782776374
16,0.6635551096281455,24,DecisionTree_depth3,52,0.6660370782776374
17,0.6635551096281455,24,DecisionTree_depth3,52,0.6660370782776374
18,0.6635551096281455,24,DecisionTree_depth3,52,0.6660370782776374
19,0.6635551096281455,24,DecisionTree_depth3,52,0.6660370782776374
20,0.6635712862771526,22,DecisionTree_depth3,52,0.6660370782776374
21,0.6643244366861772,15,DecisionTree_depth3,52,0.6660370782776374
22,0.6643244366861772,15,DecisionTree_depth3,52,0.6660370782776374
23,0.6643244366861772,15,DecisionTree_depth3,52,0.6660370782776374
24,0.6643244366861772,15,DecisionTree_depth3,52,0.6660370782776374
25,0.6643244366861772,15,DecisionTree_depth3,52,0.6660370782776374
26,0.6643244366861772,16,DecisionTree_depth3,52,0.6660370782776374
27,0.664833064899711,21,DecisionTree_depth3,52,0.6660370782776374
28,0.664833064899711,21,DecisionTree_depth3,52,0.6660370782776374
29,0.664833064899711,21,DecisionTree_depth3,52,0.6660370782776374
30,0.664833064899711,21,DecisionTree_depth3,52,0.6660370782776374
31,0.664833064899711,21,DecisionTree_depth3,52,0.6660370782776374
32,0.664833064899711,21,DecisionTree_depth3,52,0.6660370782776374
33,0.664833064899711,20,DecisionTree_depth3,52,0.6660370782776374
34,0.664833064899711,20,DecisionTree_depth3,52,0.6660370782776374
35,0.664833064899711,20,DecisionTree_depth3,52,0.6660370782776374
36,0.664833064899711,20,DecisionTree_depth3,52,0.6660370782776374
