generation,best_g_mean,best_num_features,fitness_model,best_generation,max_g_mean
80,0.682522165074246,30,LogisticRegression,45,0.682522165074246
0,0.669049793300981,42,SVC,22,0.6824592238801903
1,0.6749098748462029,59,SVC,22,0.6824592238801903
2,0.6749098748462029,59,SVC,22,0.6824592238801903
3,0.6749098748462029,59,SVC,22,0.6824592238801903
4,0.6749098748462029,59,SVC,22,0.6824592238801903
5,0.6749098748462029,59,SVC,22,0.6824592238801903
6,0.6749098748462029,59,SVC,22,0.6824592238801903
7,0.6749098748462029,59,SVC,22,0.6824592238801903
8,0.6749098748462029,59,SVC,22,0.6824592238801903
9,0.6749098748462029,59,SVC,22,0.6824592238801903
10,0.6749098748462029,59,SVC,22,0.6824592238801903
11,0.6749098748462029,59,SVC,22,0.6824592238801903
12,0.6749098748462029,59,SVC,22,0.6824592238801903
13,0.6768810960140222,48,SVC,22,0.6824592238801903
14,0.6768810960140222,48,SVC,22,0.6824592238801903
15,0.6768810960140222,48,SVC,22,0.6824592238801903
16,0.6768810960140222,48,SVC,22,0.6824592238801903
17,0.6768810960140222,48,SVC,22,0.6824592238801903
18,0.6768810960140222,48,SVC,22,0.6824592238801903
19,0.6796232814040877,53,SVC,22,0.6824592238801903
20,0.6796232814040877,53,SVC,22,0.6824592238801903
21,0.6796232814040877,53,SVC,22,0.6824592238801903
22,0.6824592238801903,52,SVC,22,0.6824592238801903
23,0.6824592238801903,52,SVC,22,0.6824592238801903
24,0.6824592238801903,52,SVC,22,0.6824592238801903
25,0.6824592238801903,52,SVC,22,0.6824592238801903
26,0.6824592238801903,52,SVC,22,0.6824592238801903
27,0.6824592238801903,52,SVC,22,0.6824592238801903
28,0.6824592238801903,52,SVC,22,0.6824592238801903
29,0.6824592238801903,52,SVC,22,0.6824592238801903
30,0.6824592238801903,52,SVC,22,0.6824592238801903
31,0.6824592238801903,52,SVC,22,0.6824592238801903
32,0.6824592238801903,52,SVC,22,0.6824592238801903
33,0.6824592238801903,52,SVC,22,0.6824592238801903
34,0.6824592238801903,52,SVC,22,0.6824592238801903
35,0.6824592238801903,52,SVC,22,0.6824592238801903
36,0.6824592238801903,52,SVC,22,0.6824592238801903
37,0.6824592238801903,52,SVC,22,0.6824592238801903
38,0.6824592238801903,52,SVC,22,0.6824592238801903
39,0.6824592238801903,52,SVC,22,0.6824592238801903
40,0.6824592238801903,52,SVC,22,0.6824592238801903
41,0.6824592238801903,52,SVC,22,0.6824592238801903
42,0.6824592238801903,52,SVC,22,0.6824592238801903
43,0.6824592238801903,52,SVC,22,0.6824592238801903
44,0.6824592238801903,52,SVC,22,0.6824592238801903
45,0.6824592238801903,52,SVC,22,0.6824592238801903
46,0.6824592238801903,52,SVC,22,0.6824592238801903
47,0.6824592238801903,52,SVC,22,0.6824592238801903
48,0.6824592238801903,52,SVC,22,0.6824592238801903
49,0.6824592238801903,52,SVC,22,0.6824592238801903
50,0.6824592238801903,52,SVC,22,0.6824592238801903
