peso_entrevista,peso_examen_mec
49506.36478,66483.885505
19556.343345,21864.099749
55823.676581,64541.709009
63096.727651,69925.49824
19418.444846,23986.664879
16286.200362,17196.82878
51484.648937,59236.314274
32046.663454,36784.983647
22878.703206,35781.488886
38617.823251,43868.684839
49666.459137,61142.180449
12603.728108,12974.851673
7500.182041,9768.702582
14986.080445,20023.635874
28498.910176,37488.007744
34699.065571,39569.635047
9317.791962,9882.798229
23367.440233,25511.338429
27380.030488,31808.322582
23142.041305,25653.599686
72334.190067,81717.401124
34018.811539,44753.485865
15065.256952,14701.94815
72495.686158,86080.463168
36473.285567,49857.612334
15731.982438,17500.90913
69417.110233,109262.21007
37418.420755,50285.208016
59747.175157,68280.470785
38690.723574,45592.026459
10651.603128,12326.796506
54472.77831,70185.720172
42188.410965,53000.389183
40970.621896,55323.093206
18278.290814,18538.054247
20534.938512,20760.054437
66969.092809,75291.205683
25806.223768,30649.962418
43068.531318,57600.057913
25889.838904,30786.888113
12130.156759,12810.128642
164370.341365,216127.415939
12646.626852,11006.216028
17823.773895,18543.161349
15479.623937,18366.121158
15185.050099,18226.971027
11322.837108,14698.566065
23905.969083,23677.101323
47644.542217,57436.579538
18419.341813,25961.237792
31568.66696,55624.32473
30480.88202,27115.316793
19083.221877,30078.4812
36416.828161,54650.342493
26318.85205,26681.858377
20241.364021,26197.968881
26194.26252,29985.139166
19758.937105,25308.254429
44676.5546,57059.376316
32549.052276,48079.109701
12332.883669,16163.530104
23718.524237,26292.647131
17479.743286,20728.446337
32513.723938,39998.990545
26800.707356,27532.026269
15246.402128,27920.28482
29593.496171,31710.12108
18984.793198,23499.224522
29156.047669,40504.453429
34125.214673,36857.57889
32662.21114,43034.227442
41059.735239,39881.20867
21533.18342,29055.588698
35817.127291,55986.26926
12705.540224,14443.252958
26801.867364,31568.27502
11312.836441,11116.570924
24778.376004,27857.534363
42806.698102,60274.229063
26805.905354,27169.277424
47365.577028,101450.602112
30961.647989,37416.495322
48394.014825,58536.694605
28731.468411,36622.289397
27865.540906,28964.788077
33415.138153,45823.457772
10030.186859,13595.900843
41925.463225,51305.02443
11425.008839,12238.614335
20442.991004,25231.424611
14353.123778,19740.885238
13803.039291,20034.150646
29853.721503,37794.038334
14032.966705,18877.11602
52837.374922,82354.133341
31754.908546,51954.418585
22974.023766,27268.659446
30479.597757,34014.168423
57221.996523,74296.159004
77038.676458,86962.411396
22251.122174,25471.835394
8471.970237,10925.552812
27956.498328,33714.363048
28120.851188,34857.623672
56931.424579,70618.136539
94762.954037,106795.730927
14822.375783,17687.813217
15516.93196,13504.210035
18445.534878,22166.123743
11488.409588,12129.851566
81720.169704,94024.175266
22189.12119,31709.594776
37438.284837,35799.37965
46875.122869,80842.768679
41389.317811,53850.88125
19503.292947,34519.232893
23634.389602,27314.872638
23043.321459,28260.191516
56826.709594,79260.574138
21902.017191,28947.573923
74736.475911,102418.714698
8379.823329,9037.730553
26575.461682,34488.402099
41796.498796,50136.653413
36688.827893,47476.417143
63465.998246,93821.237021
43874.804227,58755.026359
12070.484482,13431.674016
83125.938927,108758.856777
28866.832704,34916.899876
62090.495126,140672.964977
18069.354024,25041.811133
28565.599422,34327.473601
27526.093339,34083.910859
20426.000481,22136.802765
25508.867917,29978.972141
57808.22853,90661.703203
23019.482243,32037.042116
36845.20185,43922.591779
36616.959926,54842.673209
33434.758725,44797.032598
33250.569425,47087.576098
17431.445469,28945.617092
14787.045306,23969.290825
17398.14873,19403.231834
14635.251817,14024.274423
