generation,best_g_mean,best_num_features,fitness_model,best_generation,max_g_mean
5,0.6664317816123841,48,RandomForest,7,0.6746129945070188
6,0.6664317816123841,48,RandomForest,7,0.6746129945070188
7,0.6746129945070188,65,RandomForest,7,0.6746129945070188
8,0.6746129945070188,65,RandomForest,7,0.6746129945070188
9,0.6746129945070188,65,RandomForest,7,0.6746129945070188
10,0.6746129945070188,65,RandomForest,7,0.6746129945070188
11,0.6746129945070188,65,RandomForest,7,0.6746129945070188
12,0.6746129945070188,65,RandomForest,7,0.6746129945070188
13,0.6746129945070188,65,RandomForest,7,0.6746129945070188
14,0.6746129945070188,65,RandomForest,7,0.6746129945070188
15,0.6746129945070188,65,RandomForest,7,0.6746129945070188
16,0.6746129945070188,65,RandomForest,7,0.6746129945070188
17,0.6746129945070188,65,RandomForest,7,0.6746129945070188
18,0.6746129945070188,65,RandomForest,7,0.6746129945070188
19,0.6746129945070188,65,RandomForest,7,0.6746129945070188
20,0.6746129945070188,65,RandomForest,7,0.6746129945070188
21,0.6746129945070188,65,RandomForest,7,0.6746129945070188
22,0.6746129945070188,65,RandomForest,7,0.6746129945070188
23,0.6746129945070188,65,RandomForest,7,0.6746129945070188
24,0.6746129945070188,65,RandomForest,7,0.6746129945070188
25,0.6746129945070188,65,RandomForest,7,0.6746129945070188
26,0.6746129945070188,65,RandomForest,7,0.6746129945070188
27,0.6746129945070188,65,RandomForest,7,0.6746129945070188
28,0.6746129945070188,65,RandomForest,7,0.6746129945070188
29,0.6746129945070188,65,RandomForest,7,0.6746129945070188
30,0.6746129945070188,65,RandomForest,7,0.6746129945070188
31,0.6746129945070188,65,RandomForest,7,0.6746129945070188
32,0.6746129945070188,65,RandomForest,7,0.6746129945070188
33,0.6746129945070188,65,RandomForest,7,0.6746129945070188
34,0.6746129945070188,65,RandomForest,7,0.6746129945070188
35,0.6746129945070188,65,RandomForest,7,0.6746129945070188
36,0.6746129945070188,65,RandomForest,7,0.6746129945070188
37,0.6746129945070188,65,RandomForest,7,0.6746129945070188
38,0.6746129945070188,65,RandomForest,7,0.6746129945070188
39,0.6746129945070188,65,RandomForest,7,0.6746129945070188
40,0.6746129945070188,65,RandomForest,7,0.6746129945070188
41,0.6746129945070188,65,RandomForest,7,0.6746129945070188
42,0.6746129945070188,65,RandomForest,7,0.6746129945070188
43,0.6746129945070188,65,RandomForest,7,0.6746129945070188
44,0.6746129945070188,65,RandomForest,7,0.6746129945070188
45,0.6746129945070188,65,RandomForest,7,0.6746129945070188
46,0.6746129945070188,65,RandomForest,7,0.6746129945070188
47,0.6746129945070188,65,RandomForest,7,0.6746129945070188
48,0.6746129945070188,65,RandomForest,7,0.6746129945070188
49,0.6746129945070188,65,RandomForest,7,0.6746129945070188
50,0.6746129945070188,65,RandomForest,7,0.6746129945070188
51,0.6746129945070188,65,RandomForest,7,0.6746129945070188
52,0.6746129945070188,65,RandomForest,7,0.6746129945070188
53,0.6746129945070188,65,RandomForest,7,0.6746129945070188
54,0.6746129945070188,65,RandomForest,7,0.6746129945070188
55,0.6746129945070188,65,RandomForest,7,0.6746129945070188
56,0.6746129945070188,65,RandomForest,7,0.6746129945070188
