modelo,pareto_idx,n_variables,precision_cv,recall_cv,accuracy_test,precision_test,recall_test,f1_test,custom_score_test,TN,FP,FN,TP,selected_features
SVC,98,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['medicacion_osteoporosis_1', 'fracturas_1']"
SVC,101,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,108,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,109,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['medicacion_osteoporosis_1', 'fracturas_1']"
SVC,110,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['medicacion_osteoporosis_1', 'fracturas_1']"
SVC,131,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,141,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,147,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['medicacion_osteoporosis_1', 'fracturas_1']"
SVC,151,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['medicacion_osteoporosis_1', 'fracturas_1']"
SVC,154,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,155,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,159,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,163,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['medicacion_osteoporosis_1', 'fracturas_1']"
SVC,168,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,172,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['medicacion_osteoporosis_1', 'fracturas_1']"
SVC,175,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,183,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,189,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,191,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['medicacion_osteoporosis_1', 'fracturas_1']"
SVC,195,2,0.4577028626701642,0.8929548841620377,0.4704861111111111,0.4588235294117647,0.8897338403041825,0.6054333764553687,0.6311876537687318,37,276,29,234,"['fracturas_1', 'medicacion_osteoporosis_1']"
SVC,15,17,0.599321260675923,0.7825226934019781,0.6284722222222222,0.5753846153846154,0.7110266159695817,0.6360544217687075,0.6296414156186019,175,138,76,187,"['selenio_sangre_umol_l', 'aprueba_cond4_1', 'edad_an', 'raza_etnia_7.0', 'raza_etnia_3.0', 'hdl_mmol_l', 'tamano_hogar', 'elegibilidad_balance_1', 'ldl_martin_mmol_l', 'periodo_examen_1', 'peso_kg', 'trigliceridos_mmol_l', 'neutrofilos_abs', 'ratio_albumina_creatinina', 'leucocitos_totales', 'volumen_corpuscular_medio', 'raza_etnia_2.0']"
LogisticRegression,22,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['caidas_1', 'medicacion_osteoporosis_1']"
LogisticRegression,27,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
LogisticRegression,41,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
LogisticRegression,70,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['caidas_1', 'medicacion_osteoporosis_1']"
LogisticRegression,81,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
LogisticRegression,97,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
LogisticRegression,109,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['caidas_1', 'medicacion_osteoporosis_1']"
LogisticRegression,116,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
LogisticRegression,128,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
LogisticRegression,145,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
LogisticRegression,152,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['caidas_1', 'medicacion_osteoporosis_1']"
LogisticRegression,155,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
LogisticRegression,177,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['caidas_1', 'medicacion_osteoporosis_1']"
LogisticRegression,178,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['caidas_1', 'medicacion_osteoporosis_1']"
LogisticRegression,180,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
LogisticRegression,183,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
LogisticRegression,190,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
LogisticRegression,191,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
LogisticRegression,194,2,0.4563958501414083,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['caidas_1', 'medicacion_osteoporosis_1']"
SVC,0,2,0.45116681315381557,0.9292507790272321,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['caidas_1', 'medicacion_osteoporosis_1']"
SVC,8,2,0.45116681315381557,0.9292507790272321,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
SVC,31,2,0.45116681315381557,0.9292507790272321,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
SVC,39,2,0.45116681315381557,0.9292507790272321,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
SVC,49,2,0.45116681315381557,0.9292507790272321,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
