modelo,pareto_idx,n_variables,precision_cv,recall_cv,accuracy_test,precision_test,recall_test,f1_test,custom_score_test,TN,FP,FN,TP,selected_features
LogisticRegression,103,30,0.6806674020959734,0.6803143205527707,0.6597222222222222,0.6254681647940075,0.6349809885931559,0.630188679245283,0.6292732943136669,213,100,96,167,"['raza_etnia_3.0', 'linfocitos_abs', 'hemoglobina_g_dl', 'neutrofilos_abs', 'estado_examen_balance_1', 'plomo_sangre_umol_l', 'pulso', 'genero_1', 'raza_etnia_4.0', 'tiempo_seg_cond4', 'ratio_albumina_creatinina', 'eosinofilos_abs', 'elegibilidad_balance_1', 'raza_etnia_7.0', 'medicacion_osteoporosis_1', 'intentos_totales_elasto', 'creatinina_orina_umol_l', 'caidas_1', 'peso_kg', 'cadmio_sangre_nmol_l', 'tiempo_seg_cond1', 'trigliceridos_mmol_l', 'ratio_iqr_mediana', 'edad_an', 'plaquetas_totales', 'hdl_mmol_l', 'largo_brazo_superior_cm', 'fracturas_1', ""tipo_sonda_elasto_b'XL'"", 'tamano_manguito_pa_3.0']"
LogisticRegression,130,30,0.6806490163633022,0.6885245901639344,0.6579861111111112,0.6222222222222222,0.6387832699619772,0.6303939962476548,0.6288466413181242,211,102,95,168,"[""tipo_sonda_elasto_b'XL'"", 'neutrofilos_abs', 'elegibilidad_balance_1', 'trigliceridos_mmol_l', 'ratio_pobreza', 'tiempo_seg_cond1', 'raza_etnia_4.0', 'peso_kg', 'fracturas_1', 'hdl_mmol_l', 'tamano_manguito_pa_3.0', 'caidas_1', 'genero_1', 'largo_brazo_superior_cm', 'estado_examen_balance_1', 'hemoglobina_g_dl', 'edad_an', 'plomo_sangre_umol_l', 'intentos_totales_elasto', 'plaquetas_totales', 'peso_flebotomia', 'linfocitos_abs', 'medicacion_osteoporosis_1', 'tiempo_seg_cond4', 'pulso', 'eosinofilos_abs', 'raza_etnia_3.0', 'creatinina_orina_umol_l', 'ratio_albumina_creatinina', 'cadmio_sangre_nmol_l']"
SVC,102,19,0.5611325611325612,0.7726188863297655,0.6267361111111112,0.5736196319018405,0.7110266159695817,0.634974533106961,0.628582425528937,174,139,76,187,"['rigidez_mediana_kpa', 'tiempo_seg_cond1', 'eosinofilos_abs', 'periodo_examen_1', 'edad_an', 'ratio_albumina_creatinina', 'hdl_mmol_l', 'ratio_iqr_mediana', 'raza_etnia_2.0', 'estado_examen_balance_1', 'imc', 'pais_nacimiento_1', 'tamano_hogar', 'genero_1', 'eritrocitos_totales', 'trigliceridos_mmol_l', ""tipo_sonda_elasto_b'XL'"", 'ldl_martin_mmol_l', 'elegibilidad_balance_1']"
LogisticRegression,6,3,0.10603971318257033,0.901151605473513,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1', 'caidas_1']"
LogisticRegression,18,2,0.1019580805295091,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
LogisticRegression,24,2,0.1019580805295091,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['caidas_1', 'medicacion_osteoporosis_1']"
LogisticRegression,40,3,0.10603971318257033,0.901151605473513,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1', 'tiempo_seg_cond1']"
LogisticRegression,181,2,0.1019580805295091,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['caidas_1', 'medicacion_osteoporosis_1']"
LogisticRegression,190,2,0.1019580805295091,0.9143747459693807,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
SVC,1,2,0.06794447508733223,0.9292507790272321,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
SVC,2,2,0.06794447508733223,0.9292507790272321,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['caidas_1', 'medicacion_osteoporosis_1']"
SVC,169,2,0.06794447508733223,0.9292507790272321,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
SVC,170,2,0.06794447508733223,0.9292507790272321,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
SVC,172,2,0.06794447508733223,0.9292507790272321,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
SVC,199,2,0.06794447508733223,0.9292507790272321,0.4618055555555556,0.45436893203883494,0.8897338403041825,0.6015424164524421,0.628514895344974,32,281,29,234,"['medicacion_osteoporosis_1', 'caidas_1']"
